line_count,en,lt,translated_text
1,Meeting in Vilnius,Sutikimas Vilniuje,Sutikimas Vilniuje
2,That is the address,Štai adresas,ŠTAI adresas
3,Where does Sigita live?,Kur gyvena Sigita?,Kur givena Sigita?
4,I am looking for Miss Sigita,Aš ieškau Sigitos,Aš esu Sigitos
5,Just a moment,Minutėlę,Minutėlė
6,Who are you please?,"Atsiprašau, o kas Jūs?",Ar jūs esate čia: Pradžia
7,"Hello, I am Jonas Vasiliauskas","Alio, aš esu Jonas Vasiliauskas","Alio, aš esu Jonas Vasiliauskas"
8,I am from Lithuania,Aš esu iš Lietuvos,Aš esu iš Lietuvos
9,Welcome to Vilnius,Sveiki atvykę į Vilnių,Sveiki atvykę į Vilnių
10,A hotel room is reserved for you,Jums užsakytas kambarys viešbutyje,Jumbo svirnas viešbutyje
11,"The hotel is called ""Žaliasis tiltas""","Viešbutis vadinasi ""Žaliasis tiltas""","Viešbutis vadinis ""Žaliasis tiltas"""
12,The hotel is not large,Viešbutis nedidelis,Viešas nedidelis
13,It is small but comfortable,"Jis mažas, bet patogus","Jis mažas, bet patogus"
14,Where is the hotel?,Kur yra viešbutis?,Kur ira viešbutis?
15,It is easy to find and not far,"Lengva surasti, jis netoli","Paprastoji sraigė, jis netoli"
16,Go left into Kalvarijos street and it  is one hundred meters in the right,"Pasukite į Kalvarijos gatvę, jis už šimto metrų dešinėje","Pasukite į Kalvarijos gatvę, jis už šimto metrų dešinėje"
17,Good night. Till tomorrow,Labanaktis. Iki.,Labanaktis. Iki.
18,In the hotel,Viešbutyje,Viešbutyje
19,The receptionist welcomes you,Jus sveikina registratorė,Jus sveikina registratorė
20,I am expecting you already,Aš Jūsų laukiau,Aš esu Aš jūsų lauki
21,Have you got your  passport?,Ar turite pasą?,Ar turite pasą?
22,Your room number is seven,Jūsų kambario numeris septintas,Jūsų kambario numeris septintas
23,It's on the first floor,Jis antrame aukšte,Ji antrame aukštas
24,Your room,Jūsų kambarys,JŪSŲ KAMBARYS
25,Here is your room.,Štai Jūsų kambarys.,Štų Jūsų kambarys.
26,The room is very nice.,Kambarys puikus.,Kambarys puikus.
27,On the bed is only one  pillow. Would you like two?,"Ant lovos - viena pagalvė, ar norite antrą?","Ant lovos - viena pagalvė, ar norite antrę?"
28,No thank you. Only one please.,"Ne, ačiū. Užteks vienos.","Ne, ačiū. Užteks vienos."
29,The bathroom is next door.,Vonia yra šalia kambario.,Vonia era šalia kambario.
30,Would you like to take a  shower?,Ar norite išsimaudyti?,Ar norite išsimotyvuoti?
31,Yes please.,"Taip, būtų gerai.","Taip, ūsų gerai."
32,Here is the soap and a bath towel.,Štai muilas ir vonios rankšluostis.,Štai muilas ir vonios rankšluostis.
33,Thank you. The bath towel is large and soft. Terrific!,Ačiū. Rankšluostis didelis ir minkštas.  Nuostabu!,Ačiū. Rankšluostis didelis ir audimas. Nuostabu!
34,In the hotel at reception,Viešbučio registratūroje,Viešbučio registratūroje
35,I do not like my room.,"Atsiprašau, bet aš nepatenkintas kambariu.","Ašprašau, bet aš nepatenkintas kambariu."
36,What is the matter then?,O kas negerai?,O kas negerai?
37,I cannot sleep.,Negaliu miegoti.,Negaliu miegoti.
38,I hear the street noise.,Girdėti triukšmas gatvėje.,Girdėtės triaukštė gatvė.
39,Where is your room?,Kur yra Jūsų kambarys?,Kur yra jūsų kambarys?
40,On the first floor.,Pirmajame aukšte.,Pirmas <unk> Aukšta.
41,My room number is seven.,Mano kambarys septintas.,Mano kambarys septintas.
