line_count,en,lt,translated_text,BLEU_Score,CHRF_Score,COMET_Score
1,Meeting in Vilnius,Sutikimas Vilniuje,Sutikimas Vilniuje,51.045566714196475,75.19829112934362,1.3288706541061401
2,That is the address,Štai adresas,ŠTAI adresas,51.045566714196475,75.19829112934362,0.7445737719535828
3,Where does Sigita live?,Kur gyvena Sigita?,Kur givena Sigita?,51.045566714196475,75.19829112934362,-0.27422958612442017
4,I am looking for Miss Sigita,Aš ieškau Sigitos,Aš esu Sigitos,51.045566714196475,75.19829112934362,-0.30212846398353577
5,Just a moment,Minutėlę,Minutėlė,51.045566714196475,75.19829112934362,1.312448501586914
6,Who are you please?,"Atsiprašau, o kas Jūs?",Ar jūs esate čia: Pradžia,51.045566714196475,75.19829112934362,-1.18329656124115
7,"Hello, I am Jonas Vasiliauskas","Alio, aš esu Jonas Vasiliauskas","Alio, aš esu Jonas Vasiliauskas",51.045566714196475,75.19829112934362,1.329047679901123
8,I am from Lithuania,Aš esu iš Lietuvos,Aš esu iš Lietuvos,51.045566714196475,75.19829112934362,1.327195405960083
9,Welcome to Vilnius,Sveiki atvykę į Vilnių,Sveiki atvykę į Vilnių,51.045566714196475,75.19829112934362,1.3271243572235107
10,A hotel room is reserved for you,Jums užsakytas kambarys viešbutyje,Jumbo svirnas viešbutyje,51.045566714196475,75.19829112934362,-1.069739818572998
11,"The hotel is called ""Žaliasis tiltas""","Viešbutis vadinasi ""Žaliasis tiltas""","Viešbutis vadinis ""Žaliasis tiltas""",51.045566714196475,75.19829112934362,1.3240731954574585
12,The hotel is not large,Viešbutis nedidelis,Viešas nedidelis,51.045566714196475,75.19829112934362,-0.046806253492832184
13,It is small but comfortable,"Jis mažas, bet patogus","Jis mažas, bet patogus",51.045566714196475,75.19829112934362,1.3254081010818481
14,Where is the hotel?,Kur yra viešbutis?,Kur ira viešbutis?,51.045566714196475,75.19829112934362,1.3078532218933105
15,It is easy to find and not far,"Lengva surasti, jis netoli","Paprastoji sraigė, jis netoli",51.045566714196475,75.19829112934362,-0.19457386434078217
16,Go left into Kalvarijos street and it  is one hundred meters in the right,"Pasukite į Kalvarijos gatvę, jis už šimto metrų dešinėje","Pasukite į Kalvarijos gatvę, jis už šimto metrų dešinėje",51.045566714196475,75.19829112934362,1.316674828529358
17,Good night. Till tomorrow,Labanaktis. Iki.,Labanaktis. Iki.,51.045566714196475,75.19829112934362,1.3287136554718018
18,In the hotel,Viešbutyje,Viešbutyje,51.045566714196475,75.19829112934362,1.3293068408966064
19,The receptionist welcomes you,Jus sveikina registratorė,Jus sveikina registratorė,51.045566714196475,75.19829112934362,1.3274799585342407
20,I am expecting you already,Aš Jūsų laukiau,Aš esu Aš jūsų lauki,51.045566714196475,75.19829112934362,-0.4410707354545593
21,Have you got your  passport?,Ar turite pasą?,Ar turite pasą?,51.045566714196475,75.19829112934362,1.3280088901519775
22,Your room number is seven,Jūsų kambario numeris septintas,Jūsų kambario numeris septintas,51.045566714196475,75.19829112934362,1.3280973434448242
23,It's on the first floor,Jis antrame aukšte,Ji antrame aukštas,51.045566714196475,75.19829112934362,0.6973173022270203
24,Your room,Jūsų kambarys,JŪSŲ KAMBARYS,51.045566714196475,75.19829112934362,-0.15859907865524292
25,Here is your room.,Štai Jūsų kambarys.,Štų Jūsų kambarys.,51.045566714196475,75.19829112934362,0.4002453088760376
26,The room is very nice.,Kambarys puikus.,Kambarys puikus.,51.045566714196475,75.19829112934362,1.3291261196136475
27,On the bed is only one  pillow. Would you like two?,"Ant lovos - viena pagalvė, ar norite antrą?","Ant lovos - viena pagalvė, ar norite antrę?",51.045566714196475,75.19829112934362,1.3113391399383545
28,No thank you. Only one please.,"Ne, ačiū. Užteks vienos.","Ne, ačiū. Užteks vienos.",51.045566714196475,75.19829112934362,1.324885368347168
29,The bathroom is next door.,Vonia yra šalia kambario.,Vonia era šalia kambario.,51.045566714196475,75.19829112934362,0.7482683658599854
30,Would you like to take a  shower?,Ar norite išsimaudyti?,Ar norite išsimotyvuoti?,51.045566714196475,75.19829112934362,0.12044494599103928
31,Yes please.,"Taip, būtų gerai.","Taip, ūsų gerai.",51.045566714196475,75.19829112934362,-0.2287333905696869
32,Here is the soap and a bath towel.,Štai muilas ir vonios rankšluostis.,Štai muilas ir vonios rankšluostis.,51.045566714196475,75.19829112934362,1.3270782232284546
33,Thank you. The bath towel is large and soft. Terrific!,Ačiū. Rankšluostis didelis ir minkštas.  Nuostabu!,Ačiū. Rankšluostis didelis ir audimas. Nuostabu!,51.045566714196475,75.19829112934362,0.5380127429962158
34,In the hotel at reception,Viešbučio registratūroje,Viešbučio registratūroje,51.045566714196475,75.19829112934362,1.3281017541885376
35,I do not like my room.,"Atsiprašau, bet aš nepatenkintas kambariu.","Ašprašau, bet aš nepatenkintas kambariu.",51.045566714196475,75.19829112934362,1.170349359512329
36,What is the matter then?,O kas negerai?,O kas negerai?,51.045566714196475,75.19829112934362,1.3282103538513184
37,I cannot sleep.,Negaliu miegoti.,Negaliu miegoti.,51.045566714196475,75.19829112934362,1.3301992416381836
38,I hear the street noise.,Girdėti triukšmas gatvėje.,Girdėtės triaukštė gatvė.,51.045566714196475,75.19829112934362,-0.8234723806381226
39,Where is your room?,Kur yra Jūsų kambarys?,Kur yra jūsų kambarys?,51.045566714196475,75.19829112934362,1.3260372877120972
40,On the first floor.,Pirmajame aukšte.,Pirmas <unk> Aukšta.,51.045566714196475,75.19829112934362,-0.24979370832443237
41,My room number is seven.,Mano kambarys septintas.,Mano kambarys septintas.,51.045566714196475,75.19829112934362,1.327568531036377
42,Would you like a room on the fifth  floor?,Ar norite kambario penktame aukšte?,Ar norite kambario penktame aukštai?,51.045566714196475,75.19829112934362,1.1197121143341064
43,"Yes, please.","Taip, būtų gerai.","Taip, ūsų gerai.",51.045566714196475,75.19829112934362,-0.24102073907852173
44,In the morning,Ryte,Ryte,51.045566714196475,75.19829112934362,1.3258907794952393
45,"Good morning, did you sleep well?",Labas rytas. Ar gerai miegojote?,Labas rytas. Ar gerai miegojote?,51.045566714196475,75.19829112934362,1.3269932270050049
46,"Yes, thank you.","Taip, ačiū.","Taip, ačiū.",51.045566714196475,75.19829112934362,1.3301992416381836
47,"The weather is fine now, isn't it?","Puikus oras, ar ne?","Ar puikus oras, ar ne?",51.045566714196475,75.19829112934362,0.7738921642303467
48,The rain has stopped.,Nustojo lyti.,Nustojo lyti.,51.045566714196475,75.19829112934362,1.3267691135406494
49,"Yes, it's a fine day.","Taip, puiki diena.","Taip, puiki diena.",51.045566714196475,75.19829112934362,1.3282010555267334
50,It's quite hot already.,Jau gana šilta.,Jauna gana šilta.,51.045566714196475,75.19829112934362,0.6444619297981262
51,"What's the time, please?",Kiek dabar laiko?,Kiek dabar aiko?,51.045566714196475,75.19829112934362,0.6757848262786865
52,Just a moment.,Tuoj pažiūrėsiu.,Tuoj pat pajūriu.,51.045566714196475,75.19829112934362,-1.266554355621338
53,Nearly ten o'clock!,Tuoj dešimt!,Tuoj dešimt!,51.045566714196475,75.19829112934362,1.3227242231369019
54,The Breakfast,Pusryčiai,Pusryčiai,51.045566714196475,75.19829112934362,1.3281445503234863
55,"Good morning, how are you?","Labas rytas, kaip miegojote?","Labas rytas, kaip miegojote?",51.045566714196475,75.19829112934362,1.3253337144851685
56,"Good morning, what's there for  breakfast?",Labas rytas. Ką turite pusryčiams?,"Labas rytas. Ką tu turi, pusryčiams?",51.045566714196475,75.19829112934362,1.2544605731964111
57,"We have fresh  rolls: rolls with seeds or soft rolls with butter, honey or jam.","Turime šviežių bandelių: bandelių su aguonomis arba  minkštų bandelių su sviestu, medumi ar uogiene.","Turiminių blizgių bandelių: bandelių su aguonomis arba audinių bandelių su svestu, medumi ar uogiene.",51.045566714196475,75.19829112934362,-0.3792349100112915
58,"Yumm, that smells good.","Hm, kvepia puikiai","Hm, kvepia puikiai",51.045566714196475,75.19829112934362,1.3297455310821533
59,I'd like two rolls,Norėčiau dviejų,Norėčiau dviejų,51.045566714196475,75.19829112934362,1.32441246509552
60,One roll with seeds and a soft roll with butter and honey,Vieną bandelę su aguonomis ir vieną minkštą su sviestu  ir medumi,Vieną bandelę su aguonomis ir vieną pirštą su svestu ir medumi,51.045566714196475,75.19829112934362,0.08215656876564026
61,I would also like a glass of orange juice and a cup of coffee  please,Taip pat norėčiau stiklinę apelsinų sulčių ir puodelį  kavos.,Taip pat norėčiau stilinę apelsinų sultimis ir puodelių kavomis.,51.045566714196475,75.19829112934362,-0.6671056151390076
62,Another coffee?,Dar kavos?,Dar kava?,51.045566714196475,75.19829112934362,1.2164199352264404
63,Yes please,"Taip, ačiū","Taip, ačiū",51.045566714196475,75.19829112934362,1.3295857906341553
64,The waitress smiles,Padavėjas šypsosi,Padavėjas šypsosi,51.045566714196475,75.19829112934362,1.3272655010223389
65,Where do you live then?,Kur Jūs gyvenate?,Kur mes gyvenate?,51.045566714196475,75.19829112934362,0.9093083739280701
66,I live in Toronto,Aš gyvenu Toronte,Aš esu Toronte,51.045566714196475,75.19829112934362,0.13816452026367188
67,Is this your's first visit to Vilnius?,Ar Jūs pirmą kartą Vilniuje?,Ar Jūs esate čia: Pradžia / Naujienos / Ar Jūs esate čia: Pradžia,51.045566714196475,75.19829112934362,-1.3811535835266113
68,"Yes, I like Vilnius","Taip, man patinka Vilnius","Taip, man patinka Vilnius",51.045566714196475,75.19829112934362,1.328681468963623
69,Do you understand my Lithuanian?,Ar Jūs mane suprantate?,Ar jūs mane suprantate?,51.045566714196475,75.19829112934362,1.3204383850097656
70,"Yes, your Lithuanian is good","Taip, Jūs puikiai kalbate lietuviškai.","Taip, Jūs puikiai lietuviški.",51.045566714196475,75.19829112934362,0.05732411891222
71,"I can understand a lot, but please speak slowly","Taip, aš daug suprantu, bet kalbėkite lėčiau prašom","Taip, aš esu daug daugiau, bet aš esu už tai, kad kalbėk lėčiau prašom",51.045566714196475,75.19829112934362,-0.5107591152191162
72,The Clock.,Laikrodis,Laikrodis,51.045566714196475,75.19829112934362,1.3269851207733154
73,It is ten o'clock.,Dabar dešimt valandų.,Dabarų valandėlių.,51.045566714196475,75.19829112934362,-1.0922881364822388
